,Industry,Job Title,Responsibilities,Skills,base_location,job_level,salary,salary_mid,jd_id,jd_text,edu_req,exp_req,working_hours
0,Retail,Visual Merchandiser,Conduct A/B testing on store planograms to maximize conversion.,"Visual Merchandising, Space Planning, Data Analysis",Shanghai,Junior,9k-11k/月,10.0,JD_0000,"Visual Merchandiser | Retail | Shanghai | Level: Junior | Salary: 9k-11k/月. Conduct A/B testing on store planograms to maximize conversion. Skills: Visual Merchandising, Space Planning, Data Analysis",Bachelor's,0-1年,45-50
529,Retail,Buying Coordinator,Analyze weekly sales reports to recommend reorder quantities.,"Procurement, Vendor Management, Excel",Zhengzhou,Mid-level,8k-9k/月,8.5,JD_0529,"Buying Coordinator | Retail | Zhengzhou | Level: Mid-level | Salary: 8k-9k/月. Analyze weekly sales reports to recommend reorder quantities. Skills: Procurement, Vendor Management, Excel",Bachelor's,1-3年,40-45
530,Energy,Energy Trader,Forecast LMP (Locational Marginal Price) using weather data.,"Energy Markets, Algorithmic Trading, Python, Time Series Forecasting, Risk Management",Xi'an,Mid-level,12k-15k/月,13.5,JD_0530,"Energy Trader | Energy | Xi'an | Level: Mid-level | Salary: 12k-15k/月. Forecast LMP (Locational Marginal Price) using weather data. Skills: Energy Markets, Algorithmic Trading, Python, Time Series Forecasting, Risk Management",Master's,3-5年,45-50
531,Retail,Visual Merchandiser,Correlate display changes with product-level sales lift.,"Visual Merchandising, Space Planning, Data Analysis, A/B Testing, Excel",Guangzhou,Junior,7k-8k/月,7.5,JD_0531,"Visual Merchandiser | Retail | Guangzhou | Level: Junior | Salary: 7k-8k/月. Correlate display changes with product-level sales lift. Skills: Visual Merchandising, Space Planning, Data Analysis, A/B Testing, Excel",Bachelor's,1-3年,40-45
532,Retail,Buying Coordinator,Analyze weekly sales reports to recommend reorder quantities.,"Procurement, Vendor Management, Data Entry",Guangzhou,Senior,16k-20k/月,18.0,JD_0532,"Buying Coordinator | Retail | Guangzhou | Level: Senior | Salary: 16k-20k/月. Analyze weekly sales reports to recommend reorder quantities. Skills: Procurement, Vendor Management, Data Entry",Bachelor's,0年,40-45
533,Logistics,Demand Forecaster,Incorporate macroeconomic indicators into advanced machine learning forecasts.,Excel/VBA,Shenzhen,Lead,20k-25k/月,22.5,JD_0533,Demand Forecaster | Logistics | Shenzhen | Level: Lead | Salary: 20k-25k/月. Incorporate macroeconomic indicators into advanced machine learning forecasts. Skills: Excel/VBA,High School,1-3年,>60
534,Healthcare,Epidemiologist,Design observational studies and calculate odds ratios to assess environmental risk factors.,"Epidemiology, Study Design, SAS, Biostatistics",Xi'an,Junior,12k-14k/月,13.0,JD_0534,"Epidemiologist | Healthcare | Xi'an | Level: Junior | Salary: 12k-14k/月. Design observational studies and calculate odds ratios to assess environmental risk factors. Skills: Epidemiology, Study Design, SAS, Biostatistics",Ph.D.,3-5年,40-45
535,Education Technology,LMS Architect,Design scalable backend architectures for LMS handling high-concurrency exams.,"LTI Standards, Database Design",Guangzhou,Senior,18k-22k/月,20.0,JD_0535,"LMS Architect | Education Technology | Guangzhou | Level: Senior | Salary: 18k-22k/月. Design scalable backend architectures for LMS handling high-concurrency exams. Skills: LTI Standards, Database Design",Ph.D.,10年以上,40-45
536,E-Commerce,Growth Hacker,Design viral acquisition loops and referral programs to decrease Customer Acquisition Cost (CAC).,"A/B Testing, Growth Marketing, SQL",Wuhan,Lead,19k-24k/月,21.5,JD_0536,"Growth Hacker | E-Commerce | Wuhan | Level: Lead | Salary: 19k-24k/月. Design viral acquisition loops and referral programs to decrease Customer Acquisition Cost (CAC). Skills: A/B Testing, Growth Marketing, SQL",Master's,5-10年,45-50
537,FinTech,Algorithmic Trader,Analyze limit order book micro-structure to improve execution algorithms like VWAP and TWAP.,"Algorithmic Trading, Market Microstructure, Python, Time Series Analysis",Shanghai,Lead,52k-64k/月,58.0,JD_0537,"Algorithmic Trader | FinTech | Shanghai | Level: Lead | Salary: 52k-64k/月. Analyze limit order book micro-structure to improve execution algorithms like VWAP and TWAP. Skills: Algorithmic Trading, Market Microstructure, Python, Time Series Analysis",Bachelor's,1-3年,50-60
538,Healthcare,Medical Imaging Researcher,Train 3D CNNs for tumor segmentation in MRI and CT scans.,"Computer Vision, Medical Imaging (DICOM), PyTorch",Nanjing,Lead,26k-32k/月,29.0,JD_0538,"Medical Imaging Researcher | Healthcare | Nanjing | Level: Lead | Salary: 26k-32k/月. Train 3D CNNs for tumor segmentation in MRI and CT scans. Skills: Computer Vision, Medical Imaging (DICOM), PyTorch",Master's,5-10年,50-60
539,E-Commerce,LTV Analyst,Model Customer Lifetime Value (LTV) using cohort analysis and survival modeling.,"Cohort Analysis, Customer Analytics, SQL",Beijing,Senior,24k-29k/月,26.5,JD_0539,"LTV Analyst | E-Commerce | Beijing | Level: Senior | Salary: 24k-29k/月. Model Customer Lifetime Value (LTV) using cohort analysis and survival modeling. Skills: Cohort Analysis, Customer Analytics, SQL",Master's,3-5年,45-50
540,Education Technology,Gamification Expert,Balance virtual economy elements within educational games to maintain motivation.,"Game Design, Behavioral Psychology, A/B Testing",Tianjin,Manager,26k-32k/月,29.0,JD_0540,"Gamification Expert | Education Technology | Tianjin | Level: Manager | Salary: 26k-32k/月. Balance virtual economy elements within educational games to maintain motivation. Skills: Game Design, Behavioral Psychology, A/B Testing",Master's,1-3年,50-60
541,Logistics,Demand Forecaster,Incorporate macroeconomic indicators into advanced machine learning forecasts.,"Time Series Forecasting, S&OP Process",Beijing,Mid-level,19k-24k/月,21.5,JD_0541,"Demand Forecaster | Logistics | Beijing | Level: Mid-level | Salary: 19k-24k/月. Incorporate macroeconomic indicators into advanced machine learning forecasts. Skills: Time Series Forecasting, S&OP Process",Bachelor's,10年以上,40-45
542,Healthcare,Telemedicine Engineer,Develop low-latency WebRTC video streaming pipelines for remote consultations.,"WebRTC, Mobile Development, JavaScript",Guangzhou,Mid-level,21k-26k/月,23.5,JD_0542,"Telemedicine Engineer | Healthcare | Guangzhou | Level: Mid-level | Salary: 21k-26k/月. Develop low-latency WebRTC video streaming pipelines for remote consultations. Skills: WebRTC, Mobile Development, JavaScript",Master's,0-1年,45-50
543,Logistics,Supply Chain Security,Deploy IoT smart locks and geo-fencing to monitor freight integrity in real-time.,"Risk Assessment, Supply Chain Management, IoT Security",Guangzhou,Mid-level,14k-17k/月,15.5,JD_0543,"Supply Chain Security | Logistics | Guangzhou | Level: Mid-level | Salary: 14k-17k/月. Deploy IoT smart locks and geo-fencing to monitor freight integrity in real-time. Skills: Risk Assessment, Supply Chain Management, IoT Security",Bachelor's,1-3年,40-45
544,FinTech,Fraud Analyst,Tune rule-based fraud detection engines to balance false positive rates with fraud capture.,"Anomaly Detection, SQL",Suzhou,Senior,42k-52k/月,47.0,JD_0544,"Fraud Analyst | FinTech | Suzhou | Level: Senior | Salary: 42k-52k/月. Tune rule-based fraud detection engines to balance false positive rates with fraud capture. Skills: Anomaly Detection, SQL",Bachelor's,10年以上,40-45
545,Manufacturing,IIoT Integrator,Implement MQTT and OPC-UA protocols for machine-to-cloud transmission.,"MQTT/OPC-UA, IoT Architecture, Edge Computing, Python",Beijing,Senior,17k-20k/月,18.5,JD_0545,"IIoT Integrator | Manufacturing | Beijing | Level: Senior | Salary: 17k-20k/月. Implement MQTT and OPC-UA protocols for machine-to-cloud transmission. Skills: MQTT/OPC-UA, IoT Architecture, Edge Computing, Python",Master's,10年以上,40-45
546,Retail,Category Manager,Analyze POS data to optimize product assortment and shelf space.,"Category Management, Pricing Strategy, Negotiation",Wuhan,Mid-level,11k-13k/月,12.0,JD_0546,"Category Manager | Retail | Wuhan | Level: Mid-level | Salary: 11k-13k/月. Analyze POS data to optimize product assortment and shelf space. Skills: Category Management, Pricing Strategy, Negotiation",Bachelor's,1-3年,40-45
547,E-Commerce,Warehouse Automation Dev,Optimize picking paths for autonomous mobile robots (AMRs) using graph traversal algorithms.,"Warehouse Management Systems, IoT, Python",Xi'an,Lead,29k-35k/月,32.0,JD_0547,"Warehouse Automation Dev | E-Commerce | Xi'an | Level: Lead | Salary: 29k-35k/月. Optimize picking paths for autonomous mobile robots (AMRs) using graph traversal algorithms. Skills: Warehouse Management Systems, IoT, Python",Master's,5-10年,45-50
548,E-Commerce,Supply Chain Planner,Calculate optimal safety stock levels balancing holding costs against service level agreements.,"Demand Forecasting, Supply Chain Management, Excel, ERP Systems",Nanjing,Mid-level,21k-25k/月,23.0,JD_0548,"Supply Chain Planner | E-Commerce | Nanjing | Level: Mid-level | Salary: 21k-25k/月. Calculate optimal safety stock levels balancing holding costs against service level agreements. Skills: Demand Forecasting, Supply Chain Management, Excel, ERP Systems",Bachelor's,1-3年,45-50
549,Telecom,5G Network Architect,Develop network slicing strategies for diverse IoT use cases.,"5G Architecture, Network Slicing, NFV/SDN, Cloud Computing",Tianjin,Mid-level,14k-17k/月,15.5,JD_0549,"5G Network Architect | Telecom | Tianjin | Level: Mid-level | Salary: 14k-17k/月. Develop network slicing strategies for diverse IoT use cases. Skills: 5G Architecture, Network Slicing, NFV/SDN, Cloud Computing",Bachelor's,3-5年,45-50
550,Logistics,Warehouse Sys Analyst,Configure and optimize WMS for complex put-away and picking logic.,"WMS (Manhattan/Blue Yonder), SQL",Suzhou,Junior,10k-13k/月,11.5,JD_0550,"Warehouse Sys Analyst | Logistics | Suzhou | Level: Junior | Salary: 10k-13k/月. Configure and optimize WMS for complex put-away and picking logic. Skills: WMS (Manhattan/Blue Yonder), SQL",Bachelor's,1-3年,50-60
551,E-Commerce,Customer Journey Mapper,Synthesize qualitative interviews and clickstream data to build customer journey maps.,Journey Mapping,Chengdu,Senior,17k-21k/月,19.0,JD_0551,Customer Journey Mapper | E-Commerce | Chengdu | Level: Senior | Salary: 17k-21k/月. Synthesize qualitative interviews and clickstream data to build customer journey maps. Skills: Journey Mapping,Master's,1-3年,>60
552,Manufacturing,Lean Six Sigma Lead,Facilitate VSM workshops to eliminate non-value-added activities.,"Lean Manufacturing, Six Sigma Black Belt",Suzhou,Mid-level,11k-14k/月,12.5,JD_0552,"Lean Six Sigma Lead | Manufacturing | Suzhou | Level: Mid-level | Salary: 11k-14k/月. Facilitate VSM workshops to eliminate non-value-added activities. Skills: Lean Manufacturing, Six Sigma Black Belt",Ph.D.,3-5年,50-60
553,Logistics,Supply Chain Security,Deploy IoT smart locks and geo-fencing to monitor freight integrity in real-time.,"Risk Assessment, Supply Chain Management, Physical Security, Compliance",Hangzhou,Mid-level,13k-16k/月,14.5,JD_0553,"Supply Chain Security | Logistics | Hangzhou | Level: Mid-level | Salary: 13k-16k/月. Deploy IoT smart locks and geo-fencing to monitor freight integrity in real-time. Skills: Risk Assessment, Supply Chain Management, Physical Security, Compliance",Bachelor's,3-5年,45-50
554,Real Estate,Project Controller,Track budget variances and cost-to-complete metrics.,"Earned Value Management, Project Controls, Financial Analysis, Procore",Changsha,Mid-level,15k-19k/月,17.0,JD_0554,"Project Controller | Real Estate | Changsha | Level: Mid-level | Salary: 15k-19k/月. Track budget variances and cost-to-complete metrics. Skills: Earned Value Management, Project Controls, Financial Analysis, Procore",Master's,1-3年,40-45
555,Energy,Grid Stability Researcher,Analyze PMU (Phasor Measurement Unit) data to detect oscillations.,"Power System Dynamics, MATLAB, Control Theory",Nanjing,Lead,22k-27k/月,24.5,JD_0555,"Grid Stability Researcher | Energy | Nanjing | Level: Lead | Salary: 22k-27k/月. Analyze PMU (Phasor Measurement Unit) data to detect oscillations. Skills: Power System Dynamics, MATLAB, Control Theory",Bachelor's,5-10年,50-60
556,Education Technology,Student Success Analyst,Analyze cohort progression to evaluate effectiveness of academic advising interventions.,"Predictive Modeling, Data Visualization, SQL, Python",Chongqing,Director,25k-31k/月,28.0,JD_0556,"Student Success Analyst | Education Technology | Chongqing | Level: Director | Salary: 25k-31k/月. Analyze cohort progression to evaluate effectiveness of academic advising interventions. Skills: Predictive Modeling, Data Visualization, SQL, Python",Master's,10年以上,45-50
557,E-Commerce,LTV Analyst,Evaluate the long-term ROI of various marketing channels based on cohort profitability.,"Cohort Analysis, Python",Zhengzhou,Senior,19k-23k/月,21.0,JD_0557,"LTV Analyst | E-Commerce | Zhengzhou | Level: Senior | Salary: 19k-23k/月. Evaluate the long-term ROI of various marketing channels based on cohort profitability. Skills: Cohort Analysis, Python",Bachelor's,3-5年,45-50
558,Gaming,Gameplay Programmer,Collaborate with designers to ensure responsive input handling.,"C++, 3D Math, Unreal Engine, Unity, C#",Suzhou,Senior,20k-25k/月,22.5,JD_0558,"Gameplay Programmer | Gaming | Suzhou | Level: Senior | Salary: 20k-25k/月. Collaborate with designers to ensure responsive input handling. Skills: C++, 3D Math, Unreal Engine, Unity, C#",Bachelor's,5-10年,40-45
559,Retail,Buying Coordinator,Communicate with vendors regarding quality and delivery issues.,"Vendor Management, Data Entry",Suzhou,Manager,19k-24k/月,21.5,JD_0559,"Buying Coordinator | Retail | Suzhou | Level: Manager | Salary: 19k-24k/月. Communicate with vendors regarding quality and delivery issues. Skills: Vendor Management, Data Entry",Ph.D.,5-10年,45-50
560,FinTech,Credit Scorer,Build alternative credit scoring models using non-traditional data sources like utility bills.,"XGBoost, Credit Risk Modeling",Nanjing,VP,62k-76k/月,69.0,JD_0560,"Credit Scorer | FinTech | Nanjing | Level: VP | Salary: 62k-76k/月. Build alternative credit scoring models using non-traditional data sources like utility bills. Skills: XGBoost, Credit Risk Modeling",Master's,10年以上,>60
561,Media,Audience Analytics,Forecast viewership churn based on content consumption decline.,"Audience Segmentation, Tableau",Beijing,Senior,21k-25k/月,23.0,JD_0561,"Audience Analytics | Media | Beijing | Level: Senior | Salary: 21k-25k/月. Forecast viewership churn based on content consumption decline. Skills: Audience Segmentation, Tableau",Bachelor's,10年以上,45-50
562,Retail,POS Systems Dev,Ensure POS architecture supports offline-mode transactions.,"POS Architecture, API Integration, C# / Java, Database Management",Wuhan,Manager,15k-19k/月,17.0,JD_0562,"POS Systems Dev | Retail | Wuhan | Level: Manager | Salary: 15k-19k/月. Ensure POS architecture supports offline-mode transactions. Skills: POS Architecture, API Integration, C# / Java, Database Management",Bachelor's,5-10年,45-50
563,Logistics,Inventory Controller,Execute cycle counting programs and root-cause analysis for discrepancies.,"Auditing, Excel",Guangzhou,Manager,26k-31k/月,28.5,JD_0563,"Inventory Controller | Logistics | Guangzhou | Level: Manager | Salary: 26k-31k/月. Execute cycle counting programs and root-cause analysis for discrepancies. Skills: Auditing, Excel",Bachelor's,10年以上,45-50
564,Healthcare,Bioinformatics Scientist,Integrate multi-omics datasets to uncover novel biomarkers for targeted oncology therapies.,Python,Zhengzhou,Lead,28k-35k/月,31.5,JD_0564,Bioinformatics Scientist | Healthcare | Zhengzhou | Level: Lead | Salary: 28k-35k/月. Integrate multi-omics datasets to uncover novel biomarkers for targeted oncology therapies. Skills: Python,Bachelor's,3-5年,50-60
565,Education Technology,Learning Scientist,Analyze student interaction logs to model knowledge tracing and skill acquisition.,"Educational Data Mining, R",Shenzhen,Senior,23k-28k/月,25.5,JD_0565,"Learning Scientist | Education Technology | Shenzhen | Level: Senior | Salary: 23k-28k/月. Analyze student interaction logs to model knowledge tracing and skill acquisition. Skills: Educational Data Mining, R",Bachelor's,10年以上,40-45
566,Education Technology,Learning Scientist,Apply cognitive psychology principles to evaluate digital learning interventions.,"Cognitive Science, R",Shenzhen,Junior,10k-12k/月,11.0,JD_0566,"Learning Scientist | Education Technology | Shenzhen | Level: Junior | Salary: 10k-12k/月. Apply cognitive psychology principles to evaluate digital learning interventions. Skills: Cognitive Science, R",Bachelor's,1-3年,<40
567,E-Commerce,Conversion Optimizer,Formulate hypotheses and execute rigorous A/B tests on CTA placements and page layouts.,"A/B Testing, UX Research, Optimizely, Google Analytics",Shenzhen,Intern,6k-8k/月,7.0,JD_0567,"Conversion Optimizer | E-Commerce | Shenzhen | Level: Intern | Salary: 6k-8k/月. Formulate hypotheses and execute rigorous A/B tests on CTA placements and page layouts. Skills: A/B Testing, UX Research, Optimizely, Google Analytics",Master's,3-5年,40-45
568,Real Estate,RE Portfolio Strategist,Assess macro indicators to determine REIT sector allocations.,Portfolio Management,Xi'an,Senior,15k-18k/月,16.5,JD_0568,RE Portfolio Strategist | Real Estate | Xi'an | Level: Senior | Salary: 15k-18k/月. Assess macro indicators to determine REIT sector allocations. Skills: Portfolio Management,Bachelor's,5-10年,45-50
569,Logistics,Demand Forecaster,Incorporate macroeconomic indicators into advanced machine learning forecasts.,Excel/VBA,Nanjing,Senior,15k-18k/月,16.5,JD_0569,Demand Forecaster | Logistics | Nanjing | Level: Senior | Salary: 15k-18k/月. Incorporate macroeconomic indicators into advanced machine learning forecasts. Skills: Excel/VBA,Bachelor's,5-10年,50-60
570,Media,Sound Engine Dev,Develop spatial audio algorithms for immersive VR experiences.,"Audio Programming, DSP, C++, Wwise/FMOD",Changsha,Senior,17k-21k/月,19.0,JD_0570,"Sound Engine Dev | Media | Changsha | Level: Senior | Salary: 17k-21k/月. Develop spatial audio algorithms for immersive VR experiences. Skills: Audio Programming, DSP, C++, Wwise/FMOD",Bachelor's,3-5年,50-60
571,FinTech,Quantitative Analyst,Optimize high-frequency trading algorithms using tick-level market data and C++ low-latency systems.,"Stochastic Calculus, Quantitative Finance",Chengdu,Senior,41k-50k/月,45.5,JD_0571,"Quantitative Analyst | FinTech | Chengdu | Level: Senior | Salary: 41k-50k/月. Optimize high-frequency trading algorithms using tick-level market data and C++ low-latency systems. Skills: Stochastic Calculus, Quantitative Finance",Bachelor's,10年以上,>60
572,E-Commerce,Supply Chain Planner,Forecast SKU-level inventory demand using time-series models to prevent stockouts.,Supply Chain Management,Shenzhen,Senior,23k-28k/月,25.5,JD_0572,Supply Chain Planner | E-Commerce | Shenzhen | Level: Senior | Salary: 23k-28k/月. Forecast SKU-level inventory demand using time-series models to prevent stockouts. Skills: Supply Chain Management,Master's,5-10年,40-45
573,Education Technology,Adaptive Learning Dev,Develop backend APIs to serve real-time adaptive assessments during active sessions.,"Machine Learning, Algorithm Design, API Development",Beijing,Manager,23k-29k/月,26.0,JD_0573,"Adaptive Learning Dev | Education Technology | Beijing | Level: Manager | Salary: 23k-29k/月. Develop backend APIs to serve real-time adaptive assessments during active sessions. Skills: Machine Learning, Algorithm Design, API Development",Master's,10年以上,50-60
574,Healthcare,Medical Imaging Researcher,Validate diagnostic accuracy of AI models against board-certified radiologist baselines.,"Computer Vision, PyTorch",Beijing,Junior,15k-18k/月,16.5,JD_0574,"Medical Imaging Researcher | Healthcare | Beijing | Level: Junior | Salary: 15k-18k/月. Validate diagnostic accuracy of AI models against board-certified radiologist baselines. Skills: Computer Vision, PyTorch",Bachelor's,0-1年,40-45
575,E-Commerce,Conversion Optimizer,Formulate hypotheses and execute rigorous A/B tests on CTA placements and page layouts.,"A/B Testing, UX Research, HTML/CSS",Chengdu,Mid-level,13k-15k/月,14.0,JD_0575,"Conversion Optimizer | E-Commerce | Chengdu | Level: Mid-level | Salary: 13k-15k/月. Formulate hypotheses and execute rigorous A/B tests on CTA placements and page layouts. Skills: A/B Testing, UX Research, HTML/CSS",Bachelor's,5-10年,45-50
576,Telecom,Fiber Planner,Design OSP (Outside Plant) fiber routes using GIS software.,"OSP Design, GIS (ArcGIS/QGIS)",Zhengzhou,Lead,20k-24k/月,22.0,JD_0576,"Fiber Planner | Telecom | Zhengzhou | Level: Lead | Salary: 20k-24k/月. Design OSP (Outside Plant) fiber routes using GIS software. Skills: OSP Design, GIS (ArcGIS/QGIS)",Ph.D.,1-3年,40-45
577,Energy,HSE Compliance Lead,Conduct HAZOP (Hazard and Operability) studies for facilities.,"Health & Safety Regulations, Risk Assessment (HAZOP), Environmental Comp",Nanjing,Manager,36k-45k/月,40.5,JD_0577,"HSE Compliance Lead | Energy | Nanjing | Level: Manager | Salary: 36k-45k/月. Conduct HAZOP (Hazard and Operability) studies for facilities. Skills: Health & Safety Regulations, Risk Assessment (HAZOP), Environmental Comp",Master's,10年以上,45-50
578,Media,Social Strategist,Design content calendars that optimize post timing for engagement.,"Social Media Analytics, Content Strategy",Zhengzhou,VP,34k-41k/月,37.5,JD_0578,"Social Strategist | Media | Zhengzhou | Level: VP | Salary: 34k-41k/月. Design content calendars that optimize post timing for engagement. Skills: Social Media Analytics, Content Strategy",Master's,10年以上,50-60
579,Education Technology,LMS Architect,Implement LTI standards to integrate third-party educational applications.,"Cloud Computing, Database Design",Shanghai,Manager,23k-28k/月,25.5,JD_0579,"LMS Architect | Education Technology | Shanghai | Level: Manager | Salary: 23k-28k/月. Implement LTI standards to integrate third-party educational applications. Skills: Cloud Computing, Database Design",Ph.D.,5-10年,45-50
580,Retail,POS Systems Dev,Ensure POS architecture supports offline-mode transactions.,"POS Architecture, Database Management",Shanghai,Manager,29k-35k/月,32.0,JD_0580,"POS Systems Dev | Retail | Shanghai | Level: Manager | Salary: 29k-35k/月. Ensure POS architecture supports offline-mode transactions. Skills: POS Architecture, Database Management",Bachelor's,3-5年,50-60
581,Media,Streaming Video Eng,Monitor CDN edge node performance to minimize buffering and latency.,"Video Codecs (H.264/H.265), CDN Architecture",Suzhou,Mid-level,17k-21k/月,19.0,JD_0581,"Streaming Video Eng | Media | Suzhou | Level: Mid-level | Salary: 17k-21k/月. Monitor CDN edge node performance to minimize buffering and latency. Skills: Video Codecs (H.264/H.265), CDN Architecture",Bachelor's,1-3年,45-50
582,E-Commerce,LTV Analyst,Evaluate the long-term ROI of various marketing channels based on cohort profitability.,Cohort Analysis,Shanghai,Senior,36k-44k/月,40.0,JD_0582,LTV Analyst | E-Commerce | Shanghai | Level: Senior | Salary: 36k-44k/月. Evaluate the long-term ROI of various marketing channels based on cohort profitability. Skills: Cohort Analysis,Ph.D.,3-5年,45-50
583,E-Commerce,Catalog Manager,Utilize computer vision to automate the tagging and categorization of incoming product images.,"Data Governance, Taxonomy",Beijing,Mid-level,18k-22k/月,20.0,JD_0583,"Catalog Manager | E-Commerce | Beijing | Level: Mid-level | Salary: 18k-22k/月. Utilize computer vision to automate the tagging and categorization of incoming product images. Skills: Data Governance, Taxonomy",Bachelor's,5-10年,50-60
584,Energy,Sustainability Consultant,Prepare ESG reports for TCFD and SASB compliance.,"Carbon Accounting, Data Analysis",Chengdu,Senior,20k-24k/月,22.0,JD_0584,"Sustainability Consultant | Energy | Chengdu | Level: Senior | Salary: 20k-24k/月. Prepare ESG reports for TCFD and SASB compliance. Skills: Carbon Accounting, Data Analysis",Bachelor's,10年以上,40-45
585,E-Commerce,Digital Marketer,Manage programmatic ad buying and retargeting campaigns across Google and Meta networks.,"Google Ads, SEO/SEM, Data Analysis",Zhengzhou,Director,32k-40k/月,36.0,JD_0585,"Digital Marketer | E-Commerce | Zhengzhou | Level: Director | Salary: 32k-40k/月. Manage programmatic ad buying and retargeting campaigns across Google and Meta networks. Skills: Google Ads, SEO/SEM, Data Analysis",Bachelor's,10年以上,50-60
586,Education Technology,Adaptive Learning Dev,Implement Bayesian Knowledge Tracing (BKT) models to adjust question difficulty.,"Algorithm Design, Python, SQL",Tianjin,Mid-level,15k-18k/月,16.5,JD_0586,"Adaptive Learning Dev | Education Technology | Tianjin | Level: Mid-level | Salary: 15k-18k/月. Implement Bayesian Knowledge Tracing (BKT) models to adjust question difficulty. Skills: Algorithm Design, Python, SQL",Master's,1-3年,40-45
587,Real Estate,Smart Building Arch,Develop data pipelines for building-wide energy optimization.,BMS Systems,Shanghai,Senior,23k-28k/月,25.5,JD_0587,Smart Building Arch | Real Estate | Shanghai | Level: Senior | Salary: 23k-28k/月. Develop data pipelines for building-wide energy optimization. Skills: BMS Systems,Ph.D.,5-10年,>60
588,Media,Content Rec Scientist,Develop reinforcement learning agents to optimize user watch time.,"Recommendation Systems, PyTorch",Suzhou,Mid-level,14k-17k/月,15.5,JD_0588,"Content Rec Scientist | Media | Suzhou | Level: Mid-level | Salary: 14k-17k/月. Develop reinforcement learning agents to optimize user watch time. Skills: Recommendation Systems, PyTorch",High School,3-5年,45-50
589,Energy,Power Plant Manager,Optimize plant heat rate for maximum thermal efficiency.,"Plant Operations, Leadership",Suzhou,Junior,10k-12k/月,11.0,JD_0589,"Power Plant Manager | Energy | Suzhou | Level: Junior | Salary: 10k-12k/月. Optimize plant heat rate for maximum thermal efficiency. Skills: Plant Operations, Leadership",Bachelor's,1-3年,45-50
590,FinTech,Risk Manager,Design liquidity stress testing frameworks compliant with Basel III regulatory standards.,"Financial Risk Management, Basel III",Suzhou,Mid-level,21k-26k/月,23.5,JD_0590,"Risk Manager | FinTech | Suzhou | Level: Mid-level | Salary: 21k-26k/月. Design liquidity stress testing frameworks compliant with Basel III regulatory standards. Skills: Financial Risk Management, Basel III",Bachelor's,1-3年,50-60
591,Energy,HSE Compliance Lead,Ensure facility emissions comply with state and federal EPA regs.,"Health & Safety Regulations, Risk Assessment (HAZOP)",Zhengzhou,Junior,11k-13k/月,12.0,JD_0591,"HSE Compliance Lead | Energy | Zhengzhou | Level: Junior | Salary: 11k-13k/月. Ensure facility emissions comply with state and federal EPA regs. Skills: Health & Safety Regulations, Risk Assessment (HAZOP)",Bachelor's,3-5年,50-60
592,Telecom,Telco Operations Lead,Perform audits on macro site construction and upgrades.,"Safety Compliance, Project Management, Leadership",Shenzhen,Director,34k-42k/月,38.0,JD_0592,"Telco Operations Lead | Telecom | Shenzhen | Level: Director | Salary: 34k-42k/月. Perform audits on macro site construction and upgrades. Skills: Safety Compliance, Project Management, Leadership",Ph.D.,5-10年,50-60
593,Healthcare,Health Informatics Specialist,Design clinical decision support (CDS) alerts within the EHR to improve patient safety.,"HL7/FHIR, Health Informatics, EHR/EMR Systems, Data Integration",Changsha,Senior,15k-19k/月,17.0,JD_0593,"Health Informatics Specialist | Healthcare | Changsha | Level: Senior | Salary: 15k-19k/月. Design clinical decision support (CDS) alerts within the EHR to improve patient safety. Skills: HL7/FHIR, Health Informatics, EHR/EMR Systems, Data Integration",Master's,3-5年,40-45
594,Media,Visual Effects TD,Optimize render farm allocation for high-resolution CGI sequences.,"Pipeline Development, Computer Graphics, Houdini/Maya",Hangzhou,Manager,24k-29k/月,26.5,JD_0594,"Visual Effects TD | Media | Hangzhou | Level: Manager | Salary: 24k-29k/月. Optimize render farm allocation for high-resolution CGI sequences. Skills: Pipeline Development, Computer Graphics, Houdini/Maya",Master's,1-3年,40-45
595,Media,Sound Engine Dev,Integrate audio middleware like Wwise into custom engines.,"DSP, Wwise/FMOD",Suzhou,Lead,16k-20k/月,18.0,JD_0595,"Sound Engine Dev | Media | Suzhou | Level: Lead | Salary: 16k-20k/月. Integrate audio middleware like Wwise into custom engines. Skills: DSP, Wwise/FMOD",Bachelor's,10年以上,40-45
596,Media,Streaming Video Eng,Configure cloud-based transcoding pipelines using FFmpeg.,"Video Codecs (H.264/H.265), CDN Architecture",Xi'an,Mid-level,11k-13k/月,12.0,JD_0596,"Streaming Video Eng | Media | Xi'an | Level: Mid-level | Salary: 11k-13k/月. Configure cloud-based transcoding pipelines using FFmpeg. Skills: Video Codecs (H.264/H.265), CDN Architecture",Bachelor's,0-1年,45-50
597,Real Estate,PropTech Product Mgr,Manage integrations with 3D virtual tour and AR software.,"Product Management, PropTech Market, Agile, Data Analysis",Chongqing,Mid-level,14k-17k/月,15.5,JD_0597,"PropTech Product Mgr | Real Estate | Chongqing | Level: Mid-level | Salary: 14k-17k/月. Manage integrations with 3D virtual tour and AR software. Skills: Product Management, PropTech Market, Agile, Data Analysis",Bachelor's,1-3年,>60
